Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
5,1000,0.0,0.0,50.0,1000,12192,8924,5,48901.292969,0.000102
6,1000,0.0,0.0,50.0,1000,12495,9068,5,50208.472656,0.000100
7,1000,0.0,0.0,50.0,1000,12233,8835,5,49071.304688,0.000102
8,1000,0.0,0.0,50.0,1000,12318,8897,5,49407.039062,0.000101
9,1000,0.0,0.0,50.0,1000,12622,9177,5,50650.667969,0.000099
10,1000,0.0,0.0,50.0,1000,12227,8876,5,49083.136719,0.000102
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,12337,9034,5,49495.207031,0.000101
2,1000,0.0,0.0,50.0,1000,12088,8815,5,48498.894531,0.000103
3,1000,0.0,0.0,50.0,1000,12303,8960,5,49379.574219,0.000101
4,1000,0.0,0.0,50.0,1000,12881,9426,5,51694.730469,0.000097
5,1000,0.0,0.0,50.0,1000,12192,8924,5,48901.292969,0.000102
6,1000,0.0,0.0,50.0,1000,12495,9068,5,50208.472656,0.000100
7,1000,0.0,0.0,50.0,1000,12233,8835,5,49071.304688,0.000102
8,1000,0.0,0.0,50.0,1000,12318,8897,5,49407.039062,0.000101
9,1000,0.0,0.0,50.0,1000,12622,9177,5,50650.667969,0.000099
10,1000,0.0,0.0,50.0,1000,12507,9155,15,50313.988281,0.000298
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,5.0,1000,257,257,1,5149.649414,0.000194
2,1000,0.0,0.0,5.0,1000,252,251,1,5029.960449,0.000199
3,1000,0.0,0.0,5.0,1000,263,262,2,5245.125488,0.000381
4,1000,0.0,0.0,5.0,1000,250,249,1,4992.545898,0.000200
5,1000,0.0,0.0,5.0,1000,252,252,1,5044.129395,0.000198
6,1000,0.0,0.0,5.0,1000,248,247,1,4956.232422,0.000202
7,1000,0.0,0.0,5.0,1000,249,249,1,4975.091309,0.000201
8,1000,0.0,0.0,5.0,1000,256,256,1,5126.801270,0.000195
9,1000,0.0,0.0,5.0,1000,250,250,1,5005.430664,0.000200
10,1000,0.0,0.0,5.0,1000,255,255,1,5098.038086,0.000196
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,49962,9131,20,50375.289062,0.000397
2,1000,0.0,0.0,50.0,1000,48693,8936,20,49212.882812,0.000406
3,1000,0.0,0.0,50.0,1000,48916,8980,20,49506.761719,0.000404
4,1000,0.0,0.0,50.0,1000,48953,8980,20,49573.207031,0.000403
5,1000,0.0,0.0,50.0,1000,48425,8773,20,48900.382812,0.000409
6,1000,0.0,0.0,50.0,1000,47043,8567,20,47631.132812,0.000420
7,1000,0.0,0.0,50.0,1000,50705,9330,20,51195.699219,0.000391
8,1000,0.0,0.0,50.0,1000,48891,8931,20,49368.015625,0.000405
9,1000,0.0,0.0,50.0,1000,49366,9057,20,49910.816406,0.000401
10,1000,0.0,0.0,50.0,1000,49961,9167,20,50520.839844,0.000396
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,5.0,1000,4993,891,20,5049.649414,0.003961
2,1000,0.0,0.0,5.0,1000,4837,868,20,4848.743652,0.004125
3,1000,0.0,0.0,5.0,1000,4899,876,20,4936.782715,0.004051
4,1000,0.0,0.0,5.0,1000,5051,926,20,5086.913574,0.003932
5,1000,0.0,0.0,5.0,1000,5116,946,20,5148.630859,0.003885
6,1000,0.0,0.0,5.0,1000,4799,864,20,4863.400391,0.004112
7,1000,0.0,0.0,5.0,1000,4954,912,20,5002.697266,0.003998
8,1000,0.0,0.0,5.0,1000,5030,895,20,5066.801270,0.003947
9,1000,0.0,0.0,5.0,1000,4890,895,20,4948.057617,0.004042
10,1000,0.0,0.0,5.0,1000,4888,862,20,4923.375977,0.004062
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,50.0,1000,2541,2541,1,50916.496094,0.000020
2,1000,0.0,0.0,50.0,1000,2472,2472,1,49500.152344,0.000020
3,1000,0.0,0.0,50.0,1000,2457,2457,1,49185.652344,0.000020
4,1000,0.0,0.0,50.0,1000,2475,2474,1,49557.855469,0.000020
5,1000,0.0,0.0,50.0,1000,2580,2579,1,51628.937500,0.000019
6,1000,0.0,0.0,50.0,1000,2511,2511,1,50311.625000,0.000020
7,1000,0.0,0.0,50.0,1000,2376,2376,1,47557.093750,0.000021
8,1000,0.0,0.0,50.0,1000,2462,2462,1,49302.433594,0.000020
9,1000,0.0,0.0,50.0,1000,2473,2473,1,49514.308594,0.000020
10,1000,0.0,0.0,50.0,1000,2490,2490,2,49958.730469,0.000040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,100.0,1000,4997,4997,1,100127.968750,0.000010
2,1000,0.0,0.0,100.0,1000,5080,5079,1,101733.031250,0.000010
3,1000,0.0,0.0,100.0,1000,5002,5002,1,100147.828125,0.000010
4,1000,0.0,0.0,100.0,1000,4880,4880,1,97738.273438,0.000010
5,1000,0.0,0.0,100.0,1000,4914,4913,1,98346.671875,0.000010
6,1000,0.0,0.0,100.0,1000,5165,5165,1,103483.250000,0.000010
7,1000,0.0,0.0,100.0,1000,5080,5080,1,101694.609375,0.000010
8,1000,0.0,0.0,100.0,1000,5083,5083,1,101788.484375,0.000010
9,1000,0.0,0.0,100.0,1000,5056,5056,1,101228.617188,0.000010
